task_id,family,ctx,method,keep_frac,mode,correct,n_steps,text,prompt_tokens,dense_correct,flip_frac,mean_kl,mean_est_dropped,mean_oracle_dropped
multi_entity-1024-0,multi_entity,1024,dense,1.0,free,False,2,Whistle,,,,,,
multi_entity-1024-0,multi_entity,1024,quest_topk,0.5,free,False,2,Whistle,1095.0,False,0.0,0.0009686013490863843,0.013695758669720299,0.059806914833773456
multi_entity-1024-0,multi_entity,1024,quest_topk,0.25,free,False,2,Whistle,1095.0,False,0.0,0.0012737053839373402,0.05171619901167495,0.14066128828562796
multi_entity-1024-0,multi_entity,1024,quest_topk,0.125,free,False,2,Whistle,1095.0,False,0.0,0.000640719270450063,0.11459086649119854,0.22865264716425113
multi_entity-1024-0,multi_entity,1024,quest_topk,0.0625,free,False,2,Whistle,1095.0,False,0.0,0.18370915949344635,0.4154428164807281,0.4271679975624595
multi_entity-1024-0,multi_entity,1024,quest_topk,0.03125,free,False,2,Whistle,1095.0,False,0.0,0.18370915949344635,0.4154428164807281,0.4271679975624595
multi_entity-1024-0,multi_entity,1024,mean_topk,0.5,free,False,2,Whistle,1095.0,False,0.0,5.240316028221059e-06,0.06101163473379399,0.037547931823480346
multi_entity-1024-0,multi_entity,1024,mean_topk,0.25,free,False,2,Whistle,1095.0,False,0.0,3.045642961296835e-05,0.1796763417577105,0.10971709779862847
multi_entity-1024-0,multi_entity,1024,mean_topk,0.125,free,False,2,Whistle,1095.0,False,0.0,0.07772226189263165,0.3111933408571141,0.2239565100254757
multi_entity-1024-0,multi_entity,1024,mean_topk,0.0625,free,False,2,Whistle,1095.0,False,0.0,0.18370915949344635,0.5628424318773406,0.4271679975624595
multi_entity-1024-0,multi_entity,1024,mean_topk,0.03125,free,False,2,Whistle,1095.0,False,0.0,0.18370915949344635,0.5628424318773406,0.4271679975624595
multi_entity-1024-0,multi_entity,1024,local_sink,0.5,free,False,2,Whistle,1095.0,False,0.0,0.08141834463458508,,0.15181693847158123
multi_entity-1024-0,multi_entity,1024,local_sink,0.25,free,False,2,Whistle,1095.0,False,0.0,0.018995671533048153,,0.20249460424695695
multi_entity-1024-0,multi_entity,1024,local_sink,0.125,free,False,2,Whistle,1095.0,False,0.0,0.021651437738910317,,0.23511429683172275
multi_entity-1024-0,multi_entity,1024,local_sink,0.0625,free,False,2,Whistle,1095.0,False,0.0,0.18370915949344635,,0.4271679975624595
multi_entity-1024-0,multi_entity,1024,local_sink,0.03125,free,False,2,Whistle,1095.0,False,0.0,0.18370915949344635,,0.4271679975624595
multi_entity-1024-1,multi_entity,1024,dense,1.0,free,True,2,Medal,,,,,,
multi_entity-1024-1,multi_entity,1024,quest_topk,0.5,free,True,2,Medal,1081.0,True,0.0,8.013758616698397e-06,0.018035890540756685,0.04830763466556423
multi_entity-1024-1,multi_entity,1024,quest_topk,0.25,free,True,2,Medal,1081.0,True,0.0,5.52347246411955e-05,0.07667270720204605,0.1410759604269905
multi_entity-1024-1,multi_entity,1024,quest_topk,0.125,free,True,2,Medal,1081.0,True,0.0,0.16679615707835183,0.14212462916371546,0.2421305858130966
multi_entity-1024-1,multi_entity,1024,quest_topk,0.0625,free,False,2,Medicine,1081.0,True,0.5,0.6322504645213485,0.2731373398897371,0.3461993938045842
multi_entity-1024-1,multi_entity,1024,quest_topk,0.03125,free,False,2,Medicine,1081.0,True,0.5,0.6322504645213485,0.2731373398897371,0.3461993938045842
